validated,Measurement System,Domain,Item ID,Stem,Context,DataType,Responses,Inst,hcp_variable,action_requested,requested_python,specialty_code,hcp_variable_upload,nda_structure,nda_element,template,inst_short,Source,description,valueRange,notes
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,h_10_P1,,,jupyter - use scores only block until items resolved,h_10_P1,tlbx_sensation01,h_10_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,h_10_P2,,,jupyter - use scores only block until items resolved,h_10_P2,tlbx_sensation01,h_10_P2,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,h_12_P1,,,jupyter - use scores only block until items resolved,h_12_P1,tlbx_sensation01,h_12_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,h_12_P2,,,jupyter - use scores only block until items resolved,h_12_P2,tlbx_sensation01,h_12_P2,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,h_16_P1,,,jupyter - use scores only block until items resolved,h_16_P1,tlbx_sensation01,h_16_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,h_16_P2,,,jupyter - use scores only block until items resolved,h_16_P2,tlbx_sensation01,h_16_P2,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,h_16_P3,,,jupyter - use scores only block until items resolved,h_16_P3,tlbx_sensation01,h_16_P3,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,h_20_P1,,,jupyter - use scores only block until items resolved,h_20_P1,tlbx_sensation01,h_20_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,h_25_P1,,,jupyter - use scores only block until items resolved,h_25_P1,tlbx_sensation01,h_25_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,h_32_P1,,,jupyter - use scores only block until items resolved,h_32_P1,tlbx_sensation01,h_32_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,h_40_P1,,,jupyter - use scores only block until items resolved,h_40_P1,tlbx_sensation01,h_40_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,h_400_P1,,,jupyter - use scores only block until items resolved,h_400_P1,tlbx_sensation01,h_400_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,h_50_P1,,,jupyter - use scores only block until items resolved,h_50_P1,tlbx_sensation01,h_50_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,h_50_P2,,,jupyter - use scores only block until items resolved,h_50_P2,tlbx_sensation01,h_50_P2,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,h_64_P1,,,jupyter - use scores only block until items resolved,h_64_P1,tlbx_sensation01,h_64_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,dummy_00025,,studydata['nih_tlbx_agegencsc']='999',jupyter - use scores only block until items resolved,nih_tlbx_agegencsc,tlbx_sensation01,nih_tlbx_agegencsc,,Visual_Acuity_Test_3-7.tlbx_sensation01,,Age-Gender-Corrected T-score,0::250; 999,999=NA/NK/missing
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,dummy_00026,,studydata['nih_tlbx_rawscore']='999',jupyter - use scores only block until items resolved,nih_tlbx_rawscore,tlbx_sensation01,nih_tlbx_rawscore,,Visual_Acuity_Test_3-7.tlbx_sensation01,,RawScore,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,dummy_00027,,studydata['nih_tlbx_se']='999',jupyter - use scores only block until items resolved,nih_tlbx_se,tlbx_sensation01,nih_tlbx_se,,Visual_Acuity_Test_3-7.tlbx_sensation01,,Standard Error,,999=NA/NK/missing
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,dummy_00028,,studydata['nih_tlbx_theta']='999',jupyter - use scores only block until items resolved,nih_tlbx_theta,tlbx_sensation01,nih_tlbx_theta,,Visual_Acuity_Test_3-7.tlbx_sensation01,,Theta,,999=NA/NK/missing
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,dummy_00029,,studydata['nih_tlbx_tscore']='999',jupyter - use scores only block until items resolved,nih_tlbx_tscore,tlbx_sensation01,nih_tlbx_tscore,,Visual_Acuity_Test_3-7.tlbx_sensation01,,T-score,0::200; 999,999=NA/NK/missing
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,ItmCnt,,"studydata['wcst_ni']=studydata.ItmCnt.round().fillna(-9999).astype(int).astype(str).str.replace('-9999','')",jupyter - use scores only block until items resolved,wcst_ni,tlbx_sensation01,wcst_ni,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,Number of Items,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,Language,,studydata['interview_language']=studydata['Language'],jupyter - use scores only block until items resolved,interview_language,tlbx_sensation01,interview_language,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,Language Used in the Interview,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,National_Percentile__age_adjusted_,,"studydata['natl_percentile__age_adjusted_']=studydata['National_Percentile__age_adjusted_'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",jupyter - use scores only block until items resolved,natl_percentile__age_adjusted_,tlbx_sensation01,natl_percentile__age_adjusted_,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,National Percentile (age adjusted),1::100;999,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,o_10_P1,,,jupyter - use scores only block until items resolved,o_10_P1,tlbx_sensation01,o_10_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,o_10_P2,,,jupyter - use scores only block until items resolved,o_10_P2,tlbx_sensation01,o_10_P2,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,o_12_P1,,,jupyter - use scores only block until items resolved,o_12_P1,tlbx_sensation01,o_12_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,o_12_P2,,,jupyter - use scores only block until items resolved,o_12_P2,tlbx_sensation01,o_12_P2,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,o_12_P3,,,jupyter - use scores only block until items resolved,o_12_P3,tlbx_sensation01,o_12_P3,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,o_16_P1,,,jupyter - use scores only block until items resolved,o_16_P1,tlbx_sensation01,o_16_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,o_20_P1,,,jupyter - use scores only block until items resolved,o_20_P1,tlbx_sensation01,o_20_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,o_25_P1,,,jupyter - use scores only block until items resolved,o_25_P1,tlbx_sensation01,o_25_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,o_32_P1,,,jupyter - use scores only block until items resolved,o_32_P1,tlbx_sensation01,o_32_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,o_40_P1,,,jupyter - use scores only block until items resolved,o_40_P1,tlbx_sensation01,o_40_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,o_400_P1,,,jupyter - use scores only block until items resolved,o_400_P1,tlbx_sensation01,o_400_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,o_50_P1,,,jupyter - use scores only block until items resolved,o_50_P1,tlbx_sensation01,o_50_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,o_64_P1,,,jupyter - use scores only block until items resolved,o_64_P1,tlbx_sensation01,o_64_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,o_64_P2,,,jupyter - use scores only block until items resolved,o_64_P2,tlbx_sensation01,o_64_P2,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,RawScore,Please rename this column 'raw_vat'.,"studydata['raw_vat']=studydata['RawScore'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",jupyter - use scores only block until items resolved,raw_vat,tlbx_sensation01,raw_vat,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,Visual Acuity Test raw score,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,Static_Visual_Acuity_logMAR,,studydata['staticvalogmar']=studydata['Static_Visual_Acuity_logMAR'],jupyter - use scores only block until items resolved,staticvalogmar,tlbx_sensation01,staticvalogmar,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,Static Visual Acuity logMAR score,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,Static_Visual_Acuity_Snellen,,,jupyter - use scores only block until items resolved,Static_Visual_Acuity_Snellen,tlbx_sensation01,Static_Visual_Acuity_Snellen,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,t_10_P1,,,jupyter - use scores only block until items resolved,t_10_P1,tlbx_sensation01,t_10_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,t_10_P2,,,jupyter - use scores only block until items resolved,t_10_P2,tlbx_sensation01,t_10_P2,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,t_10_P3,,,jupyter - use scores only block until items resolved,t_10_P3,tlbx_sensation01,t_10_P3,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,t_12_P1,,,jupyter - use scores only block until items resolved,t_12_P1,tlbx_sensation01,t_12_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,t_12_P2,,,jupyter - use scores only block until items resolved,t_12_P2,tlbx_sensation01,t_12_P2,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,t_16_P1,,,jupyter - use scores only block until items resolved,t_16_P1,tlbx_sensation01,t_16_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,t_20_P1,,,jupyter - use scores only block until items resolved,t_20_P1,tlbx_sensation01,t_20_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,t_25_P1,,,jupyter - use scores only block until items resolved,t_25_P1,tlbx_sensation01,t_25_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,t_32_P1,,,jupyter - use scores only block until items resolved,t_32_P1,tlbx_sensation01,t_32_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,t_40_P1,,,jupyter - use scores only block until items resolved,t_40_P1,tlbx_sensation01,t_40_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,t_50_P1,,,jupyter - use scores only block until items resolved,t_50_P1,tlbx_sensation01,t_50_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,t_64_P1,,,jupyter - use scores only block until items resolved,t_64_P1,tlbx_sensation01,t_64_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,t_64_P2,,,jupyter - use scores only block until items resolved,t_64_P2,tlbx_sensation01,t_64_P2,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,Uncorrected_Standard_Score,,"studydata['vbdva_stattestscore']=studydata['Uncorrected_Standard_Score'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",jupyter - use scores only block until items resolved,vbdva_stattestscore,tlbx_sensation01,vbdva_stattestscore,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,Static Visual Acuity Test Score,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,v_10_P1,,,jupyter - use scores only block until items resolved,v_10_P1,tlbx_sensation01,v_10_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,v_10_P2,,,jupyter - use scores only block until items resolved,v_10_P2,tlbx_sensation01,v_10_P2,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,v_12_P1,,,jupyter - use scores only block until items resolved,v_12_P1,tlbx_sensation01,v_12_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,v_12_P2,,,jupyter - use scores only block until items resolved,v_12_P2,tlbx_sensation01,v_12_P2,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,v_16_P1,,,jupyter - use scores only block until items resolved,v_16_P1,tlbx_sensation01,v_16_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,v_16_P2,,,jupyter - use scores only block until items resolved,v_16_P2,tlbx_sensation01,v_16_P2,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,v_32_P1,,,jupyter - use scores only block until items resolved,v_32_P1,tlbx_sensation01,v_32_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,v_40_P1,,,jupyter - use scores only block until items resolved,v_40_P1,tlbx_sensation01,v_40_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,v_400_P1,,,jupyter - use scores only block until items resolved,v_400_P1,tlbx_sensation01,v_400_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,v_50_P1,,,jupyter - use scores only block until items resolved,v_50_P1,tlbx_sensation01,v_50_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,v_50_P2,,,jupyter - use scores only block until items resolved,v_50_P2,tlbx_sensation01,v_50_P2,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,,,,,,,,NIH Toolbox Visual Acuity Test Ages 3-7 v2.0,v_64_P1,,,jupyter - use scores only block until items resolved,v_64_P1,tlbx_sensation01,v_64_P1,Visual_Acuity_Test_3-7.tlbx_sensation01_template.csv,Visual_Acuity_Test_3-7.tlbx_sensation01,HCPD,,,
,NIH Toolbox,Sensation,AUWINRightList1_24db,List 1 Right Ear,24 dB,bitwise,"1=pain
2=youth
4=wheat
8=dodge
16=cool
",NIH Toolbox Words-In-Noise Test Age 6+ v2.1,auwinrightlist1_24db,,"studydata['auwinrightlist1_24db']=studydata['auwinrightlist1_24db'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",jupyter - use scores only block until items resolved,auwinrightlist1_24db,tlbx_sensation01,auwinrightlist1_24db,Words-In-Noise.tlbx_sensation01_template.csv,Words-In-Noise,HCPD HCPA,Words-in-Noise - List 1 - Right Ear - 24dB (bitwise variable),1;2;4;8;16,1=pain; 2=youth; 4=wheat; 8=dodge; 16=cool
,NIH Toolbox,Sensation,AUWINRightList1_20db,List 1 Right Ear,20 dB,bitwise,"1=ditch
2=ring
4=kick
8=chair
16=luck
",NIH Toolbox Words-In-Noise Test Age 6+ v2.1,auwinrightlist1_20db,,"studydata['auwinrightlist1_20db']=studydata['auwinrightlist1_20db'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",jupyter - use scores only block until items resolved,auwinrightlist1_20db,tlbx_sensation01,auwinrightlist1_20db,Words-In-Noise.tlbx_sensation01_template.csv,Words-In-Noise,HCPD HCPA,Words-in-Noise - List 1 - Right Ear - 20dB (bitwise variable),1;2;4;8;16,1=ditch; 2=ring; 4=kick; 8=chair; 16=luck
,NIH Toolbox,Sensation,AUWINRightList1_16db,List 1 Right Ear,16 dB,bitwise,"1=base
2=wire
4=red
8=time
16=judge
",NIH Toolbox Words-In-Noise Test Age 6+ v2.1,auwinrightlist1_16db,,"studydata['auwinrightlist1_16db']=studydata['auwinrightlist1_16db'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",jupyter - use scores only block until items resolved,auwinrightlist1_16db,tlbx_sensation01,auwinrightlist1_16db,Words-In-Noise.tlbx_sensation01_template.csv,Words-In-Noise,HCPD HCPA,Words-in-Noise - List 1 - Right Ear - 16dB (bitwise variable),1;2;4;8;16,1=base; 2=wire; 4=red; 8=time; 16=judge
,NIH Toolbox,Sensation,AUWINRightList1_12db,List 1 Right Ear,12 dB,bitwise,"1=hate
2=shack
4=tool
8=voice
16=rush
",NIH Toolbox Words-In-Noise Test Age 6+ v2.1,auwinrightlist1_12db,,"studydata['auwinrightlist1_12db']=studydata['auwinrightlist1_12db'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",jupyter - use scores only block until items resolved,auwinrightlist1_12db,tlbx_sensation01,auwinrightlist1_12db,Words-In-Noise.tlbx_sensation01_template.csv,Words-In-Noise,HCPD HCPA,Words-in-Noise - List 1 - Right Ear - 12dB (bitwise variable),1;2;4;8;16,1=hate; 2=shack; 4=tool; 8=voice; 16=rush
,NIH Toolbox,Sensation,AUWINRightList1_8db,List 1 Right Ear,8 dB,bitwise,"1=turn
2=young
4=bite
8=pick
16=half
",NIH Toolbox Words-In-Noise Test Age 6+ v2.1,auwinrightlist1_8db,,"studydata['auwinrightlist1_8db']=studydata['auwinrightlist1_8db'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",jupyter - use scores only block until items resolved,auwinrightlist1_8db,tlbx_sensation01,auwinrightlist1_8db,Words-In-Noise.tlbx_sensation01_template.csv,Words-In-Noise,HCPD HCPA,Words-in-Noise - List 1 - Right Ear - 8dB (bitwise variable),1;2;4;8;16,1=turn; 2=young; 4=bite; 8=pick; 16=half
,NIH Toolbox,Sensation,AUWINRightList1_4db,List 1 Right Ear,4 dB,bitwise,"1=far
2=learn
4=mood
8=talk
16=note
",NIH Toolbox Words-In-Noise Test Age 6+ v2.1,auwinrightlist1_4db,,"studydata['auwinrightlist1_4db']=studydata['auwinrightlist1_4db'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",jupyter - use scores only block until items resolved,auwinrightlist1_4db,tlbx_sensation01,auwinrightlist1_4db,Words-In-Noise.tlbx_sensation01_template.csv,Words-In-Noise,HCPD HCPA,Words-in-Noise - List 1 - Right Ear - 4dB (bitwise variable),1;2;4;8;16,1=far; 2=learn; 4=mood; 8=talk; 16=note
,NIH Toolbox,Sensation,AUWINRightList1_0db,List 1 Right Ear,0 dB,bitwise,"1=gaze
2=life
4=get
8=read
16=bath
",NIH Toolbox Words-In-Noise Test Age 6+ v2.1,auwinrightlist1_0db,,"studydata['auwinrightlist1_0db']=studydata['auwinrightlist1_0db'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",jupyter - use scores only block until items resolved,auwinrightlist1_0db,tlbx_sensation01,auwinrightlist1_0db,Words-In-Noise.tlbx_sensation01_template.csv,Words-In-Noise,HCPD HCPA,Words-in-Noise - List 1 - Right Ear - 0dB (bitwise variable),1;2;4;8;16,1=gaze; 2=life; 4=get; 8=read; 16=bath
,NIH Toolbox,Sensation,AUWINRightList2_24db,List 2 Right Ear,24 dB,bitwise,"1=food
2=road
4=juice
8=late
16=hire
",NIH Toolbox Words-In-Noise Test Age 6+ v2.1,auwinrightlist2_24db,,"studydata['auwinrightlist2_24db']=studydata['auwinrightlist2_24db'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",jupyter - use scores only block until items resolved,auwinrightlist2_24db,tlbx_sensation01,auwinrightlist2_24db,Words-In-Noise.tlbx_sensation01_template.csv,Words-In-Noise,HCPD HCPA,Words-in-Noise - List 2 - Right Ear - 24dB (bitwise variable),1;2;4;8;16,1=food; 2=road; 4=juice; 8=late; 16=hire
,NIH Toolbox,Sensation,AUWINRightList2_20db,List 2 Right Ear,20 dB,bitwise,"1=tire
2=such
4=shawl
8=haze
16=gun
",NIH Toolbox Words-In-Noise Test Age 6+ v2.1,auwinrightlist2_20db,,"studydata['auwinrightlist2_20db']=studydata['auwinrightlist2_20db'].fillna(-9999).astype(int).astype(str).str.replace('-9999','')",jupyter - use scores only block until items resolved,auwinrightlist2_20db,tlbx_sensation01,auwinrightlist2_20db,Words-In-Noise.tlbx_sensation01_template.csv,Words-In-Noise,HCPD HCPA,Words-in-Noise - List 2 - Right Ear - 20dB (bitwise variable),1;2;4;8;16,1=tire; 2=such; 4=shawl; 8=haze; 16=gun
